Variables,Labels,Data
caseid,Respondent ID number,NSFG male respondent
givoralm,givoralm   KH-1 R has ever performed oral sex on a male,NSFG male respondent
getoralm,getoralm   KH-2 R has ever received oral sex from a male,NSFG male respondent
oralcondm,KH-2b R used a condom at last oral sex with a male partner,NSFG male respondent
ANALSEX2,ANALSEX2   KH-3 Has a male partner ever put his penis in R's anus,NSFG male respondent
ANALCONDM1,KH-3b R used a condom at last receptive anal sex with a male partner,NSFG male respondent
ANALSEX3,ANALSEX3   KH-4 Has R ever put his penis in a male partner's anus,NSFG male respondent
ANALCONDM2,KH-4b R used a condom at last insertive anal sex with a male partner,NSFG male respondent
malesex,malesex    KH-4C R had any other sexual experience with another male,NSFG male respondent
malprtage,KH-5 Relative age of R s most recent male sexual partner,NSFG male respondent
samesexany,Ever had oral or anal sex with a male,NSFG male respondent
malprthrace,HISPRACE2-recode-like variable for current/most recent same-sex partner (compute,NSFG male respondent
SAMORAL12,KJ-2YRa Number of male (same-sex) partners in last year for oral sex,NSFG male respondent
RECEPANAL12,KJ-2YRb Number of male (same-sex) partners in last year for receptive anal sex,NSFG male respondent
INSERANAL12,KJ-2YRc Number of male (same-sex) partners in last year for insertive anal sex,NSFG male respondent
SAMESEX1,SAMESEX1   KJ-3 R s age at first sexual experience with same-sex (male) partner,NSFG male respondent
msamerel,msamerel   KJ-3a R s relationship with 1st male partner at time of 1st sex with him,NSFG male respondent
msmnonmon,KJ-4 Number of non-monogamous male (same-sex) partners in last 12 months,NSFG male respondent
MALSHT12,MALSHT12   KJ-5 Last 12 months: R had sex w/male intravenous drug user,NSFG male respondent
JOHN2FRQ,JOHN2FRQ   KJ-6 Last 12 months: R gave money or drugs to male for sex,NSFG male respondent
PROS2FRQ,PROS2FRQ   KJ-7 Last 12 months: R took money or drugs from male for sex,NSFG male respondent
HIVMAL12,HIVMAL12   KJ-8 Last 12 months: R had sex with an HIV-positive male,NSFG male respondent
MSMSORT12,KJ-10 Male partners in last 12 months: Chosen based on HIV status,NSFG male respondent
cndlsmal,cndlsmal   KJ-11 Was condom used at last sex with a male partner,NSFG male respondent
samlifenum,Number of same-sex partners in lifetime. (computed in FC K-14d),NSFG male respondent
samyearnum,Number of same-sex partners in last 12 months. (computed in FC K-14f),NSFG male respondent
condalls,condalls   KK-1 Was condom used at last sex w/male or female partner,NSFG male respondent
mflastp,mflastp    KK-2 Was Last Sex Partner Male or Female?,NSFG male respondent
whycond,whycond    KK-3 Reason For Condom Use at Last Sex (if vaginal),NSFG male respondent
dateapp,dateapp    KK-3a Had sex with anyone they first met on the internet in past 12 months,NSFG male respondent
attract,attract    KK-4 R's Sexual Attraction to Males vs Females,NSFG male respondent
ORIENT_A,ORIENT_A   KK-5a R s Sexual Orientation random 1/2 sample,NSFG male respondent
ORIENT_B,ORIENT_B   KK-5b R s Sexual Orientation random 1/2 sample,NSFG male respondent
confconc,confconc   KK-6a Not go for sexual or reproductive health care because your parents might f,NSFG male respondent
timalon,timalon    KK-6b Dr ever spend any time alone with you without a parent,NSFG male respondent
RISKCHEK1,KK-6c Dr ever asked R about sexual orientation or sex of his partners,NSFG male respondent
RISKCHEK2,KK-6d Dr ever asked R about his number of sexual partners,NSFG male respondent
RISKCHEK3,KK-6e Dr ever asked R about his use of condoms,NSFG male respondent
RISKCHEK4,KK-6f Dr ever asked R about the types of sex he has,NSFG male respondent
rectdouch,KK-6g Rectal douching in last 12 months,NSFG male respondent
STDTST12,STDTST12   KK-7 Last 12 months: R Tested for STD,NSFG male respondent
STDSITE12,KK-7b R had pharyngeal or rectal STD testing in the past year,NSFG male respondent
STDTRT12,STDTRT12   KK-8 Last 12 months: R Treated for STD,NSFG male respondent
gon,gon        KK-9 Last 12 months: R told he had gonorrhea,NSFG male respondent
chlam,chlam      KK-10 Last 12 months: R told he had chlamydia,NSFG male respondent
herpes,herpes     KK-11 R ever told he had genital herpes,NSFG male respondent
genwarts,genwarts   KK-12 R ever told he had genital warts,NSFG male respondent
syphilis,syphilis   KK-13 R ever told he had syphilis,NSFG male respondent
evrinject,KK-14 Ever Injected Non-Prescription Drugs in Lifetime,NSFG male respondent
evrshare,evrshare   KK-15 Ever (in life) Shared an IV Needle,NSFG male respondent
VAGNUM12,VAGNUM12   KG-2YRa # female partners past 12 months had vaginal sex with,NSFG male respondent
ORALNUM12,"KG-2YRb # female partners past 12 months had oral sex with, either giving or rec",NSFG male respondent
ANALNUM12,KG-2YRc # female partners past 12 months had anal sex with,NSFG male respondent
nonmonog,nonmonog   KG-4 Last 12 months: R Had Sex w/Female Having Sex With Others,NSFG male respondent
NNONMONOG1,KG-5a Number of female partners in last year who were having sex with others,NSFG male respondent
NNONMONOG2,KG-5b Number of other partners R's 1 partner in last year had at same time,NSFG male respondent
NNONMONOG3,KG-5c Number of other partners R's most recent partner in last year had at same,NSFG male respondent
FEMSHT12,FEMSHT12   KG-6 Last 12 months: R had sex w/female intravenous drug user,NSFG male respondent
johnfreq,johnfreq   KG-7 Last 12 months: R gave money or drugs to female for sex,NSFG male respondent
prostfrq,prostfrq   KG-8 Last 12 months: R took money or drugs from female for sex,NSFG male respondent
HIVFEM12,HIVFEM12   KG-9 Last 12 months: R had sex with an HIV-positive female,NSFG male respondent
opplifenum,Number of opposite-sex partners in lifetime for all types of sex. (computed in F,NSFG male respondent
oppyearnum,Number of opposite-sex partners in last 12 months for all types of sex (computed,NSFG male respondent
femtouch,femtouch   KE-1 R ever touched by female and ejaculated,NSFG male respondent
vagsex,vagsex     KE-2 Ever had vaginal intercourse,NSFG male respondent
agevagr,agevagr    KE-2b R's age at first vaginal intercourse,NSFG male respondent
condvag,condvag    KE-3 Was condom used at last vaginal sex,NSFG male respondent
COND1BRK,COND1BRK   KE-3a Did condom break,NSFG male respondent
COND1OFF,COND1OFF   KE-3b When was the condom used,NSFG male respondent
whycondl,whycondl   KE-4 Reason for condom use at last vaginal sex,NSFG male respondent
getoralf,getoralf   KE-5 R has ever received oral sex from a female,NSFG male respondent
condfell,condfell   KE-6 Was condom used when last received oral sex from a female,NSFG male respondent
givoralf,givoralf   KE-7 R has ever performed oral sex on a female,NSFG male respondent
timing,timing     KE-7b oral sex before or after vaginal sex,NSFG male respondent
analsex,analsex    KE-8 R ever had anal sex with a female,NSFG male respondent
condanal,condanal   KE-9 Was condom used when last had anal sex with a female,NSFG male respondent
condsexl,condsexl   KE-10 Was condom used at last sex of any kind with a female,NSFG male respondent
anyoral,anyoral    Whether R has ever had oral sex (either type) with an opposite-sex (female) part,NSFG male respondent
oppsexany,"Ever had vaginal, oral or anal sex with a female",NSFG male respondent
oppsexgen,Ever had male-genital-involving sex with a female,NSFG male respondent
SMK100,SMK100     KC-0a1 Has R Smoked at Least 100 Cigarettes in Life,NSFG male respondent
agesmk,agesmk     KC-0a2 Age That R First Began Smoking Regularly,NSFG male respondent
SMOKE12,SMOKE12    KC-0a3 Last 12 mos: How Often R Smoked Cigarettes,NSFG male respondent
smkstop,smkstop    KC-0a4 Was R provided with counseling to stop smoking,NSFG male respondent
DRINK12,DRINK12    KC-1 Last 12 months: How Often Drank Alcoholic Beverages,NSFG male respondent
UNIT30D,UNIT30D    KC-1a-U Drinking in past 30 days - unit of response,NSFG male respondent
DRINK30D,DRINK30D   KC-1a-N Drinking in past 30 days - amount,NSFG male respondent
drinkday,drinkday   KC-1b Number of drinks R had on average on days R drank,NSFG male respondent
BINGE30,BINGE30    KC-1c Number of times R binge-drank in past 30 days,NSFG male respondent
drnkmost,drnkmost   KC-1d Largest number of drinks R had on any occasion in past 30 days,NSFG male respondent
BINGE12,BINGE12    KC-2 Last 12 months: How Often Binge Drank (5+ in Couple of Hours),NSFG male respondent
POT12,POT12      KC-3 Last 12 months: How Often Smoked Marijuana,NSFG male respondent
